Colour (TCU),Turbidity (NTU),pH,Conductivity (uS/cm),Total Dissolved Solids (mg/l),Total Hardness (mg/l as CaCO3),Aluminium (mg/l),Chloride (mg/l),Total Iron (mg/l),Sodium (mg/l),Sulphate (mg/l),Zinc (mg/l),Magnesium (mg/l),Calcium (mg/l),Potassium (mg/l),Nitrate (mg/l),Phosphate (mg/l),Potability
0.25,4.73,6.74,902.5,448.74,17.55,0.09,1.62,0.17,62.75,118.23,0.92,29.98,26.54,32.26,18.84,1.36,potable
3.35,2.16,7.2,822.29,952.55,227.08,0.13,179.42,0.11,24.47,156.2,4.19,45.7,67.99,16.58,34.46,1.21,potable
4.99,1.12,7.14,527.39,122.61,270.41,0.13,147.12,0.27,54.86,280.43,4.17,35.09,45.35,46.03,18.99,0.89,potable
9.84,4.57,7.44,524.38,417.87,184.36,0.16,185.94,0.14,120.41,166.13,4.31,37.06,119.33,12.95,16.57,2.18,potable
2.4,0.05,7.86,597.55,585.72,147.28,0.01,98.75,0.27,32.05,341.35,1.92,77.41,11.39,39.16,2.2,0.95,potable
9.34,0.62,8.23,1050.93,646.27,80.8,0.12,94.73,0.22,95.42,212.95,0.42,19.75,34.75,31.05,3.84,0.5,potable
8.54,2.2,6.86,798.98,485.86,275.72,0.03,30.32,0.22,122.37,319.57,0.64,73.21,95.51,35.37,2.41,0.45,potable
3.5,4.58,8.36,697.31,824.15,231.5,0.14,249.74,0.01,188.04,349.09,3.76,78.81,15.36,9.49,24.05,1.59,potable
13.19,1.03,7.52,415.66,848.86,193.79,0.19,146.37,0.09,41.68,383.23,0.61,87.68,132.68,47.17,19.31,2.19,potable
14.52,3.63,8.45,590.04,821.46,174.73,0.13,35.71,0.22,53.6,204.22,3.35,66.57,94.66,23.04,15.49,1.55,potable
5.2,4.22,7.67,248.16,548.55,90.07,0.16,23.68,0.21,77.37,195.37,0.51,90.25,14.28,47.63,36.9,1.19,potable
1.34,0.11,8.16,203.37,943.29,284.65,0.0,101.21,0.1,60.26,305.11,1.92,60.33,39.59,40.79,41.62,0.5,potable
5.69,4.15,6.97,1295.81,852.04,65.42,0.16,133.42,0.16,156.1,240.4,1.21,24.62,106.28,32.23,4.1,1.26,potable
9.3,4.1,8.3,1219.24,446.42,78.38,0.02,145.82,0.27,40.52,204.19,4.27,78.34,36.0,22.16,0.71,0.77,potable
3.55,3.36,8.27,1405.09,346.31,60.28,0.1,39.11,0.3,39.22,26.07,2.8,2.1,110.66,49.55,42.5,0.14,potable
10.85,3.55,6.66,1477.35,202.55,92.21,0.04,169.49,0.11,32.34,191.19,2.75,75.37,37.64,7.35,19.22,0.57,potable
12.42,3.15,6.65,459.79,746.46,225.95,0.04,160.7,0.29,60.8,314.59,0.64,19.08,96.8,1.02,31.11,1.26,potable
12.83,0.67,7.96,1049.49,759.63,104.1,0.02,114.35,0.13,176.62,236.94,1.55,89.3,50.42,27.92,19.0,0.7,potable
4.0,0.03,7.93,808.51,957.47,61.37,0.14,183.95,0.04,13.45,235.66,3.36,93.68,105.67,20.57,27.63,0.77,potable
8.12,4.81,7.97,1232.03,996.06,119.29,0.11,13.18,0.13,1.59,182.61,4.46,40.39,21.19,48.93,12.66,0.43,potable
8.56,0.24,8.24,1114.08,885.75,259.79,0.14,200.86,0.22,118.12,208.39,1.66,96.52,128.29,22.01,0.62,0.22,potable
12.17,2.52,7.95,1459.98,750.08,264.78,0.02,130.39,0.04,194.92,163.62,1.75,79.34,121.41,22.17,34.76,1.65,potable
7.54,3.98,7.31,6.17,833.93,194.07,0.05,117.85,0.15,113.97,361.81,2.87,93.78,95.25,49.89,22.45,1.86,potable
10.65,4.62,7.16,776.98,741.38,267.48,0.1,126.45,0.09,176.35,196.14,2.24,44.03,32.59,25.95,14.97,0.29,potable
14.28,1.16,6.68,614.45,62.62,178.61,0.16,177.93,0.11,40.1,5.07,3.78,51.49,53.8,21.75,17.18,0.37,potable
6.51,3.16,8.01,1455.52,322.69,156.39,0.03,163.24,0.17,73.51,231.53,1.43,28.82,98.08,18.77,27.93,0.1,potable
4.66,0.36,7.67,463.56,994.87,38.04,0.16,53.37,0.27,46.05,67.98,2.67,1.54,102.83,14.13,22.18,1.3,potable
2.16,0.35,7.94,279.7,764.67,18.04,0.02,128.08,0.3,148.52,27.6,2.34,17.96,46.15,39.14,24.62,0.17,potable
2.46,3.87,6.99,322.29,343.3,296.62,0.05,96.75,0.17,142.73,395.13,3.31,67.37,85.18,37.68,28.19,1.73,potable
14.46,3.03,6.86,261.63,329.49,63.36,0.06,227.52,0.25,147.4,121.84,3.43,42.92,95.48,16.28,16.64,2.08,potable
0.9,4.34,7.05,917.04,188.94,148.33,0.07,161.59,0.05,16.68,51.37,4.51,34.08,115.63,9.32,24.51,1.91,potable
0.21,1.85,6.55,775.28,441.69,126.55,0.15,26.42,0.24,53.21,293.43,4.06,38.12,116.56,11.41,1.14,0.24,potable
2.17,4.99,7.98,1061.23,540.71,87.25,0.1,31.38,0.28,61.77,354.34,0.69,64.51,56.29,15.4,41.56,0.63,potable
6.36,1.77,6.71,988.95,258.74,51.74,0.15,153.04,0.03,183.71,317.99,0.57,98.37,14.95,23.94,36.22,1.45,potable
9.28,3.07,8.22,388.08,226.0,86.52,0.09,100.12,0.08,48.42,210.61,1.55,11.72,43.85,14.37,34.86,0.53,potable
10.9,4.41,7.86,462.35,77.07,228.04,0.02,12.48,0.06,187.1,129.89,1.51,13.32,53.83,17.53,34.23,1.95,potable
10.62,4.0,8.21,441.73,690.13,187.91,0.05,159.17,0.09,191.35,58.09,2.68,87.15,14.21,18.05,28.22,0.09,potable
9.27,4.77,8.43,1481.26,550.74,241.33,0.05,17.34,0.11,117.67,178.0,1.54,10.16,14.68,17.1,28.92,1.46,potable
1.46,4.3,7.96,850.66,989.65,266.3,0.18,161.17,0.18,62.14,228.69,1.5,27.5,68.71,28.46,44.02,0.77,potable
7.69,4.44,7.09,976.48,263.68,66.21,0.11,66.94,0.16,0.84,156.31,4.54,47.98,73.03,22.8,43.77,1.93,potable
9.81,1.42,7.83,678.52,881.96,238.78,0.12,3.65,0.16,194.82,108.11,3.73,37.0,27.35,1.12,11.45,0.87,potable
2.09,0.6,8.29,363.95,300.96,120.28,0.01,4.96,0.19,105.29,166.67,1.74,41.34,33.19,17.15,40.8,0.88,potable
2.79,1.4,7.04,63.91,207.95,161.43,0.06,147.87,0.1,162.44,186.43,1.9,42.04,22.98,1.16,10.21,0.18,potable
12.16,3.49,8.24,1146.47,290.28,46.81,0.03,140.98,0.11,192.46,6.53,3.98,9.4,57.01,39.75,39.63,1.64,potable
4.0,2.4,7.04,88.7,631.04,91.77,0.14,64.04,0.23,170.64,365.61,0.53,88.8,49.41,0.8,25.77,1.71,potable
11.45,2.84,8.19,272.1,834.2,99.77,0.13,34.26,0.27,177.74,322.21,3.91,86.58,149.73,15.66,35.18,1.35,potable
3.5,3.2,8.37,411.62,926.65,39.6,0.08,18.23,0.29,22.96,124.41,2.99,19.83,101.79,41.09,17.74,1.91,potable
7.34,0.11,6.6,593.39,696.6,122.79,0.19,230.43,0.19,157.04,351.04,2.25,63.65,125.11,19.84,8.91,1.3,potable
9.51,4.27,6.95,1410.19,11.04,134.2,0.13,119.2,0.22,4.44,83.05,1.08,10.23,46.64,36.32,34.5,1.52,potable
12.14,1.92,7.55,1098.93,862.48,100.73,0.02,202.53,0.07,39.9,8.42,2.8,82.7,31.5,35.62,24.64,0.36,potable
11.11,4.76,8.12,586.77,0.52,74.89,0.17,62.48,0.2,86.75,0.59,0.6,7.49,77.6,34.32,25.35,0.47,potable
5.22,3.63,6.8,971.57,936.0,181.7,0.15,92.83,0.09,101.24,184.84,2.35,45.83,145.73,36.37,30.31,1.5,potable
2.37,2.58,8.22,282.97,223.31,54.67,0.18,50.37,0.21,130.27,289.37,3.57,17.87,16.82,24.93,6.93,1.43,potable
10.01,2.53,8.4,653.63,336.72,193.22,0.11,175.27,0.04,94.04,137.38,2.28,84.13,146.39,0.29,42.83,0.36,potable
3.89,1.16,8.19,1213.46,948.73,159.56,0.04,133.69,0.24,155.86,5.6,3.72,39.96,147.86,23.56,38.44,1.11,potable
0.6,1.04,7.18,1138.27,897.06,60.94,0.13,2.95,0.11,74.85,93.82,0.5,95.39,18.12,25.3,8.84,2.02,potable
5.28,0.73,7.27,344.69,366.71,153.85,0.12,22.92,0.27,126.77,319.66,1.09,0.03,88.09,39.35,2.26,0.11,potable
12.89,0.8,7.29,1081.4,789.66,274.34,0.02,34.45,0.19,26.07,361.53,4.22,32.93,129.2,15.49,2.38,0.92,potable
1.02,2.34,7.45,862.27,477.0,277.42,0.17,47.47,0.17,9.14,318.74,4.29,61.98,144.61,24.73,32.19,0.12,potable
4.75,1.94,8.31,43.07,783.06,106.42,0.01,109.2,0.17,192.85,231.93,1.27,57.78,65.7,39.81,28.76,0.75,potable
7.78,0.78,7.39,1256.18,181.43,106.89,0.14,69.69,0.25,60.24,242.68,3.4,40.0,144.66,37.89,21.17,0.15,potable
10.51,3.37,6.67,1131.64,785.32,287.55,0.17,114.45,0.18,45.53,273.18,0.89,10.41,112.7,10.79,36.18,1.0,potable
12.38,2.65,8.41,1440.1,716.45,141.86,0.14,9.47,0.12,59.31,398.65,3.73,43.71,40.28,30.12,18.32,0.55,potable
1.31,1.35,7.69,1337.15,389.74,3.41,0.18,66.61,0.09,187.4,85.55,0.9,1.88,145.09,15.44,2.13,0.98,potable
4.76,4.82,7.57,433.08,320.57,101.57,0.1,36.99,0.2,36.64,283.99,2.9,84.71,98.08,3.8,39.05,0.84,potable
5.55,0.93,6.58,546.63,596.41,126.36,0.03,229.75,0.21,161.53,244.39,0.53,62.87,41.93,22.36,16.77,2.09,potable
2.74,4.3,7.55,1195.92,850.37,218.16,0.06,131.14,0.04,177.03,165.19,1.49,22.53,55.17,37.83,26.74,1.2,potable
0.12,4.31,6.98,1315.2,434.16,142.05,0.19,191.59,0.21,108.76,152.0,1.33,36.08,135.56,19.39,1.15,0.48,potable
7.42,0.2,7.91,701.2,543.92,26.55,0.03,96.64,0.27,131.61,216.34,1.84,30.18,124.92,37.27,33.45,0.19,potable
9.83,3.37,7.58,987.72,898.35,148.22,0.12,180.83,0.23,196.23,108.58,4.45,93.1,86.77,42.0,13.72,0.15,potable
2.5,3.05,7.88,995.43,65.0,256.28,0.03,115.29,0.18,97.66,202.21,4.06,46.86,114.65,37.6,38.49,0.36,potable
12.25,3.51,7.94,969.35,708.9,32.73,0.13,33.06,0.05,181.53,27.67,4.97,54.21,45.31,4.05,32.71,1.9,potable
10.57,2.48,7.12,1308.77,373.42,116.56,0.09,178.62,0.25,31.46,233.0,1.42,67.38,130.07,21.48,7.27,1.49,potable
0.77,1.03,7.73,645.22,209.36,96.81,0.0,169.64,0.12,150.38,152.6,3.45,81.04,63.18,36.0,40.88,0.69,potable
13.91,1.63,6.72,1088.28,642.76,54.15,0.05,110.12,0.11,147.18,206.11,4.21,72.6,60.87,30.91,38.69,0.09,potable
5.79,4.4,6.53,1429.97,245.56,268.51,0.13,144.04,0.04,110.67,189.19,1.76,99.51,22.13,18.47,6.26,0.8,potable
13.82,2.32,6.61,340.35,927.46,108.64,0.17,71.3,0.12,158.29,81.8,1.21,53.4,145.88,12.43,32.53,1.35,potable
0.75,4.6,6.76,919.81,242.8,97.07,0.16,155.05,0.01,158.01,368.3,4.57,17.41,15.84,11.43,27.58,1.29,potable
7.27,2.04,7.02,758.67,679.13,294.77,0.05,219.94,0.13,181.17,275.26,2.22,87.06,85.02,49.94,21.4,1.72,potable
2.69,0.99,7.36,1282.49,912.97,121.0,0.03,131.22,0.1,174.61,71.84,3.44,69.57,8.39,34.35,23.16,1.97,potable
6.77,0.96,7.11,1333.19,147.64,72.66,0.18,163.04,0.26,6.09,249.14,3.09,73.2,97.96,29.72,33.41,0.5,potable
13.01,4.56,6.67,1307.17,591.6,51.85,0.02,108.71,0.03,167.42,226.81,3.73,33.8,2.31,17.61,29.68,0.73,potable
13.8,0.28,6.77,1295.96,292.6,44.96,0.08,212.9,0.29,114.26,281.83,2.15,84.97,73.81,27.8,18.65,1.61,potable
12.97,2.3,7.82,522.79,236.14,186.25,0.06,122.77,0.08,103.07,352.21,0.79,47.76,40.09,11.32,0.4,1.9,potable
14.74,4.29,7.02,761.06,613.01,129.69,0.13,39.03,0.22,185.46,180.83,0.48,4.5,108.68,28.22,36.56,1.91,potable
12.5,2.54,6.58,58.2,716.16,241.0,0.14,93.54,0.19,24.39,300.35,2.92,38.21,5.17,2.27,37.89,0.76,potable
9.43,0.79,8.08,909.93,221.5,85.85,0.16,183.42,0.24,3.43,355.49,4.11,86.08,2.74,27.62,41.67,0.6,potable
7.84,0.26,7.27,598.39,758.3,36.45,0.17,111.97,0.12,132.98,132.74,3.79,47.58,49.48,15.2,3.04,1.79,potable
9.06,3.13,7.26,508.14,182.36,65.73,0.02,226.73,0.03,161.14,310.52,2.43,89.6,106.47,0.68,29.68,0.37,potable
4.67,0.32,7.82,628.79,402.99,226.41,0.07,230.38,0.24,171.12,265.04,1.46,36.94,24.17,49.93,13.82,1.45,potable
9.07,1.82,8.21,109.32,732.29,41.45,0.18,230.41,0.19,41.86,206.73,2.86,3.72,83.38,19.29,26.13,1.1,potable
5.99,3.56,6.51,532.55,298.39,280.01,0.03,180.82,0.13,140.5,221.21,1.94,51.3,5.31,32.51,2.53,1.29,potable
0.53,2.98,6.53,1246.29,0.4,247.84,0.05,150.17,0.29,166.35,90.44,4.2,79.86,122.05,7.39,16.75,0.88,potable
4.35,3.36,7.87,1042.76,500.74,82.64,0.16,59.46,0.13,79.33,268.29,2.72,33.41,35.36,15.39,44.29,0.19,potable
4.78,0.63,8.25,315.02,203.64,139.37,0.02,70.12,0.21,190.77,161.72,2.81,98.53,59.02,20.41,39.11,0.93,potable
11.19,2.94,7.12,1290.64,561.78,269.26,0.11,74.6,0.21,182.5,150.9,0.99,92.7,14.57,34.45,20.35,0.93,potable
10.29,4.46,8.16,592.9,576.79,136.26,0.09,18.78,0.16,6.27,394.89,4.62,51.06,36.41,39.88,22.0,0.63,potable
12.34,1.46,6.92,1414.97,162.97,56.2,0.01,154.45,0.18,173.28,283.18,3.14,24.81,43.0,35.37,25.86,1.43,potable
1.57,3.3,6.65,38.13,446.08,216.69,0.16,126.85,0.11,187.87,278.54,0.13,76.14,55.79,35.02,8.24,0.33,potable
13.37,1.67,7.22,880.81,687.4,190.14,0.16,214.18,0.25,78.94,147.73,3.73,10.1,25.25,12.82,12.15,1.92,potable
8.88,3.03,6.87,877.56,716.42,85.96,0.19,235.63,0.29,2.95,137.96,1.06,50.14,46.72,20.11,7.16,0.28,potable
14.99,1.3,7.36,1453.06,507.09,93.4,0.02,8.3,0.12,108.13,233.26,0.56,65.76,32.21,29.52,5.91,0.59,potable
11.87,3.4,7.75,1036.29,186.84,158.14,0.2,48.43,0.19,67.2,76.73,1.35,44.16,138.45,8.96,37.33,0.14,potable
14.32,0.15,7.18,624.61,616.78,81.2,0.16,98.14,0.11,154.11,132.49,2.77,95.9,54.64,47.37,3.72,1.8,potable
7.06,0.78,8.13,1265.0,529.63,100.09,0.07,97.16,0.17,36.66,117.69,4.62,94.41,51.91,46.27,27.28,0.46,potable
8.23,1.96,7.39,540.04,803.4,172.79,0.12,113.34,0.08,73.83,381.42,1.2,43.65,70.02,6.29,26.03,1.79,potable
8.06,0.08,6.78,1414.34,372.3,75.23,0.07,210.51,0.25,61.53,115.26,2.32,58.33,119.3,12.0,27.28,2.09,potable
13.06,1.21,7.55,1366.14,35.55,285.58,0.13,150.94,0.03,184.86,100.75,3.92,81.93,113.05,12.08,3.42,0.61,potable
14.91,4.57,8.15,1268.09,324.07,120.32,0.18,78.45,0.03,168.08,203.99,3.31,33.29,142.96,21.37,34.39,1.62,potable
6.66,1.47,6.87,296.59,355.28,108.29,0.16,8.17,0.06,172.73,212.24,1.0,58.2,51.82,1.89,24.78,1.59,potable
5.63,0.05,7.65,66.66,5.87,283.59,0.07,97.31,0.06,175.24,219.25,4.86,77.89,98.4,15.21,2.45,0.84,potable
14.32,1.57,8.28,1325.72,542.56,164.18,0.05,99.48,0.1,178.91,73.7,4.64,53.78,35.59,46.97,25.56,0.32,potable
12.04,0.23,8.05,31.87,636.78,147.79,0.1,33.83,0.06,192.99,63.26,2.41,68.37,10.04,32.43,6.27,0.33,potable
8.36,0.36,7.44,1324.56,162.48,73.89,0.12,248.56,0.16,49.25,265.23,4.1,3.01,96.94,38.34,5.97,2.11,potable
8.41,1.71,7.14,1403.63,144.04,233.99,0.02,45.0,0.14,163.37,196.51,2.54,59.76,106.57,10.79,10.11,0.99,potable
14.22,0.64,7.17,57.43,802.12,114.53,0.15,11.31,0.01,55.69,12.6,4.6,63.87,84.55,36.91,0.55,0.84,potable
7.3,0.95,7.65,616.6,455.14,298.81,0.04,165.01,0.05,98.49,382.66,4.58,11.2,21.08,5.8,26.82,1.77,potable
1.38,4.9,7.0,537.32,769.21,99.01,0.04,173.1,0.24,28.9,81.5,4.6,20.74,127.82,16.07,19.73,0.69,potable
4.29,4.53,8.3,453.46,373.57,188.49,0.07,68.76,0.19,183.98,34.88,1.43,33.52,89.01,0.52,5.11,1.88,potable
9.98,0.02,7.16,1076.64,237.21,245.17,0.2,213.21,0.11,10.16,174.71,2.18,27.73,77.96,34.3,15.08,0.6,potable
12.67,3.28,8.32,406.16,147.44,223.12,0.02,247.71,0.01,25.65,98.75,4.14,54.65,63.34,28.33,11.22,0.11,potable
9.51,0.14,7.24,1424.5,941.65,107.37,0.04,140.36,0.15,113.75,338.87,3.99,74.6,137.04,49.2,24.3,1.96,potable
2.44,2.11,6.51,835.75,878.65,51.7,0.05,107.34,0.1,96.2,277.21,2.03,51.76,90.81,9.49,30.61,2.08,potable
5.7,1.5,8.39,702.31,698.04,159.29,0.1,131.76,0.23,45.66,300.48,1.11,53.27,142.38,25.69,34.8,0.61,potable
5.17,1.45,8.24,583.56,525.41,114.9,0.08,33.62,0.06,114.36,318.99,0.85,63.84,93.0,43.16,40.58,1.94,potable
6.73,1.52,7.82,1249.44,279.51,61.45,0.05,2.19,0.09,92.41,41.26,2.96,24.18,49.85,48.42,21.84,0.46,potable
6.21,0.22,6.62,198.07,49.63,205.68,0.12,43.59,0.24,95.41,266.69,3.7,71.32,54.3,10.4,17.71,1.73,potable
11.37,0.6,7.67,1190.64,19.01,238.55,0.19,150.03,0.25,117.92,254.28,1.92,16.61,97.13,11.66,10.29,0.63,potable
0.61,3.68,7.92,1269.54,154.33,48.45,0.07,2.8,0.13,83.42,293.66,4.85,11.12,57.79,43.44,0.92,1.08,potable
3.45,2.04,8.17,779.61,303.54,4.55,0.04,133.76,0.03,191.83,167.25,2.36,69.82,105.88,30.18,0.88,0.46,potable
2.4,1.54,7.99,330.38,320.95,83.64,0.12,181.85,0.04,186.44,5.5,3.69,96.1,128.87,38.43,34.02,1.47,potable
9.33,1.58,8.35,421.9,651.59,292.44,0.09,116.57,0.23,96.88,167.89,3.8,55.03,24.53,27.04,34.79,0.84,potable
1.04,1.48,6.75,652.63,118.85,170.06,0.02,110.52,0.18,122.35,336.49,4.93,50.86,127.35,39.97,42.1,1.06,potable
7.98,1.86,6.52,1391.84,499.63,65.91,0.14,80.89,0.1,81.71,216.41,2.55,72.18,37.81,1.2,26.59,0.7,potable
9.99,4.24,8.05,1130.27,920.59,141.52,0.1,187.77,0.13,122.07,241.7,2.95,70.41,86.88,28.05,29.38,0.16,potable
5.11,0.59,7.08,1115.9,292.39,88.0,0.13,18.29,0.13,133.98,89.87,4.85,73.22,60.63,38.24,43.19,0.24,potable
10.3,2.32,6.51,1356.46,477.74,283.02,0.14,72.56,0.11,194.05,158.78,1.26,29.07,37.09,32.9,11.86,1.12,potable
2.0,0.26,6.68,247.33,837.45,88.5,0.06,241.21,0.21,35.03,355.05,0.02,52.63,35.6,44.03,2.89,0.96,potable
6.64,4.65,7.38,645.23,56.81,124.07,0.09,191.76,0.18,144.03,39.61,2.82,91.24,139.57,45.1,19.14,1.85,potable
1.75,2.76,7.28,587.41,168.82,202.55,0.16,166.05,0.13,126.97,24.17,1.16,65.97,130.91,13.79,23.74,1.41,potable
9.76,0.38,8.2,1123.08,829.14,19.9,0.04,37.52,0.0,92.99,217.26,2.9,22.67,125.52,39.49,18.81,0.22,potable
7.56,4.72,7.29,1134.78,640.12,158.9,0.16,144.63,0.25,97.66,153.3,3.43,82.56,70.72,15.51,30.55,0.19,potable
8.1,3.78,7.76,927.46,573.51,212.78,0.15,109.48,0.16,97.34,215.93,4.14,41.46,98.55,48.73,25.82,0.08,potable
10.93,1.64,6.94,387.89,157.09,74.19,0.15,18.83,0.29,173.38,228.09,3.15,46.93,110.79,31.94,10.18,0.86,potable
7.37,4.92,8.44,493.17,915.87,116.99,0.1,43.75,0.14,94.58,308.43,0.36,50.47,134.46,20.02,14.92,0.84,potable
0.93,3.72,7.84,330.29,393.76,202.61,0.04,62.82,0.23,67.68,206.27,0.23,79.32,29.37,23.1,29.57,1.4,potable
11.12,4.56,7.46,133.76,807.84,260.88,0.19,56.2,0.22,57.75,52.82,1.81,71.76,135.76,42.07,20.0,0.2,potable
6.45,4.99,7.86,879.62,933.38,293.52,0.19,80.45,0.23,51.38,144.72,1.32,65.45,113.15,8.68,41.54,1.34,potable
4.54,2.49,7.21,74.32,222.73,66.83,0.19,105.0,0.07,99.6,246.69,1.08,75.44,38.81,12.48,44.09,0.22,potable
10.85,3.5,7.9,1456.25,986.36,175.97,0.09,206.38,0.21,70.44,308.82,2.0,17.66,103.96,35.84,30.58,0.27,potable
8.42,0.88,7.82,1487.81,56.49,213.48,0.04,104.08,0.16,80.46,316.07,3.9,24.63,118.23,32.25,0.37,0.37,potable
9.13,3.74,8.17,742.5,588.8,1.15,0.18,4.59,0.2,145.7,274.36,1.4,60.35,77.03,7.45,5.9,1.87,potable
10.52,1.34,7.88,757.44,103.06,125.1,0.13,40.62,0.26,3.92,248.31,0.16,81.11,75.55,49.85,43.93,2.12,potable
1.03,2.21,7.2,312.21,315.25,266.63,0.03,224.34,0.12,96.99,30.73,1.28,81.21,121.46,43.89,25.17,1.82,potable
5.96,0.95,6.94,107.19,248.87,209.21,0.04,196.26,0.12,37.88,57.8,0.46,52.99,45.53,36.26,31.55,2.08,potable
0.88,0.13,7.02,601.46,744.83,183.39,0.06,166.53,0.15,158.6,21.94,0.27,6.86,28.16,15.77,13.13,1.96,potable
4.26,3.76,7.98,947.65,350.12,162.26,0.1,163.06,0.09,54.67,389.18,4.05,38.38,21.58,20.69,19.6,0.58,potable
1.11,2.91,7.05,1290.78,591.51,240.56,0.04,88.79,0.1,158.5,292.1,0.43,61.02,81.62,44.69,28.82,1.22,potable
11.81,4.41,8.37,1242.84,848.16,36.62,0.07,157.21,0.04,18.21,185.68,3.22,2.42,77.97,5.6,16.15,0.67,potable
1.53,3.8,6.85,219.58,418.07,229.46,0.11,222.53,0.0,180.48,67.37,3.56,8.81,60.09,5.11,3.7,0.75,potable
1.59,2.99,6.97,777.58,852.92,32.29,0.0,10.4,0.14,116.46,302.24,3.59,81.4,143.66,1.69,24.48,1.48,potable
5.28,1.81,8.18,849.65,171.06,263.59,0.01,21.93,0.14,58.09,275.02,4.85,37.66,114.86,46.88,19.89,0.19,potable
2.12,0.48,8.44,280.31,590.71,108.52,0.06,183.67,0.2,63.29,393.47,4.82,42.68,136.53,19.34,7.63,0.09,potable
10.96,3.1,7.59,327.38,889.56,165.13,0.11,9.83,0.12,100.83,207.23,1.03,57.06,55.06,42.33,4.46,0.41,potable
10.2,4.75,8.22,1486.08,272.17,244.67,0.18,190.67,0.1,59.57,102.89,0.4,64.29,96.77,42.09,24.78,1.97,potable
4.22,2.6,6.95,765.98,655.13,211.13,0.2,99.11,0.0,28.86,68.34,0.54,54.45,42.06,4.12,13.13,1.18,potable
14.36,2.01,8.06,1359.22,270.08,226.49,0.15,188.58,0.26,40.18,179.12,1.58,77.54,117.33,42.2,15.93,1.13,potable
6.74,1.53,7.3,1283.94,807.44,193.66,0.01,140.76,0.12,19.82,370.51,1.25,71.5,38.35,30.96,44.71,1.88,potable
3.78,3.84,7.68,419.11,766.69,121.65,0.14,217.01,0.14,67.81,155.73,0.19,62.37,41.24,40.48,36.6,2.13,potable
13.66,3.41,7.32,417.93,950.08,235.85,0.1,21.55,0.07,1.68,195.68,0.72,95.04,19.24,2.17,13.73,1.87,potable
12.87,1.95,7.83,1498.93,119.04,36.46,0.07,191.8,0.24,1.74,42.17,4.17,32.38,72.22,36.57,16.94,0.78,potable
1.38,4.76,7.59,519.85,872.06,2.85,0.08,14.8,0.1,119.3,355.01,1.26,17.27,56.95,14.96,11.33,1.77,potable
6.1,1.4,6.54,751.19,767.44,187.33,0.15,221.1,0.22,12.6,318.04,2.57,19.66,26.45,2.69,2.71,1.13,potable
12.1,2.17,7.45,571.31,638.58,103.24,0.18,93.92,0.08,61.54,32.69,4.87,74.09,12.66,2.87,26.47,1.99,potable
8.47,1.21,7.13,521.26,641.48,50.54,0.2,113.31,0.25,109.45,184.07,4.73,67.27,69.89,17.86,8.56,0.86,potable
0.53,4.81,8.43,1331.21,841.5,49.0,0.17,78.95,0.05,81.94,213.32,4.31,90.81,80.37,39.81,40.73,0.1,potable
4.76,0.16,8.0,664.0,906.38,273.02,0.1,128.48,0.05,67.05,264.02,1.88,57.69,79.03,15.69,24.84,0.26,potable
12.22,3.8,6.74,1079.91,186.71,114.33,0.03,21.96,0.11,114.26,315.16,0.22,17.0,74.26,4.94,41.85,0.41,potable
1.95,0.06,6.84,1162.92,327.48,238.61,0.17,89.62,0.29,10.33,1.86,3.94,64.5,126.76,38.78,9.47,0.04,potable
10.52,1.1,7.92,477.71,820.94,203.34,0.18,203.63,0.29,42.35,360.57,1.35,74.75,17.5,21.79,23.13,2.1,potable
10.64,4.35,7.68,28.8,965.8,109.33,0.02,33.41,0.09,134.88,245.53,4.61,9.26,85.03,5.6,17.77,0.88,potable
10.51,1.03,6.67,827.67,297.35,299.78,0.1,141.02,0.18,121.38,102.84,3.44,68.53,127.03,38.26,13.91,0.88,potable
11.75,3.69,7.68,640.15,269.99,224.88,0.12,118.62,0.1,12.19,124.77,1.83,43.35,108.38,19.6,24.34,0.68,potable
7.85,1.8,6.76,462.97,634.2,60.04,0.16,105.98,0.15,124.03,264.64,4.83,53.07,83.15,37.25,39.54,0.72,potable
10.86,2.79,7.74,956.58,686.77,289.57,0.07,84.76,0.14,149.55,366.4,4.87,28.91,54.58,34.86,13.8,0.43,potable
3.69,4.95,6.99,178.75,653.83,51.11,0.05,231.86,0.06,55.12,101.33,2.63,97.77,126.75,46.19,34.64,1.3,potable
7.94,4.76,6.7,1278.9,709.84,108.62,0.15,246.4,0.08,196.4,310.13,1.74,83.74,49.79,15.22,39.88,1.09,potable
7.53,3.11,7.04,276.24,340.13,233.37,0.02,161.7,0.24,111.49,344.13,0.19,9.06,122.11,35.89,24.1,1.62,potable
0.13,4.06,6.74,1058.67,18.99,217.16,0.19,232.0,0.1,136.0,210.19,2.54,93.88,138.27,7.78,44.3,1.79,potable
13.28,0.66,7.88,828.08,753.79,70.94,0.17,216.91,0.19,70.67,366.78,3.5,44.43,105.53,42.46,39.79,0.12,potable
2.62,2.41,8.02,1439.49,419.19,144.28,0.1,168.83,0.08,126.33,6.39,0.19,65.66,80.17,40.84,1.08,0.57,potable
7.48,0.02,7.84,967.88,727.57,141.56,0.14,45.32,0.13,120.77,150.24,3.3,29.94,129.89,44.84,29.26,0.48,potable
0.16,0.67,6.92,506.25,804.08,121.58,0.08,57.78,0.02,199.09,61.43,2.29,27.38,105.14,18.37,1.2,1.67,potable
